Date,Open,High,Low,Close,Volume,UpperB,LowerB,PercentB
2011/7/1,132.089996,134.100006,131.779999,133.919998,202385700,132.3739267,125.3160726,1.219056848
2011/7/5,133.779999,134.080002,133.389999,133.809998,165936000,133.2542966,124.9127032,1.066618138
2011/7/6,133.490005,134.139999,133.110001,133.970001,143331600,134.0409145,124.6270847,0.99246709
2011/7/7,135.160004,135.699997,134.880005,135.360001,170464200,135.0770137,124.2849858,1.026221884
2011/7/8,133.830002,135.360001,133.389999,134.399994,194100500,135.7211099,124.1408896,0.885916169
2011/7/11,132.75,133.179993,131.660004,131.970001,195918600,135.8989098,124.40009,0.65832069
2011/7/12,131.690002,132.779999,131.360001,131.399994,214675700,135.9893778,124.6796217,0.594210188
2011/7/13,132.089996,133.220001,131.520004,131.839996,204062600,136.1324732,124.7885252,0.621606411
2011/7/14,132.169998,132.779999,130.679993,130.929993,226111800,136.0933472,125.2186508,0.525195554
2011/7/15,131.660004,131.869995,130.770004,131.690002,220012800,136.0923832,125.6586147,0.578064129
2011/7/18,131.080002,131.279999,129.630005,130.610001,196872100,135.9541503,126.1528474,0.454751133
2011/7/19,131.339996,132.889999,131.309998,132.729996,166554900,135.9926635,126.6173341,0.651994362
2011/7/20,133.070007,133.149994,132.419998,132.649994,137145400,136.1042688,126.8257285,0.627713552
2011/7/21,133.399994,134.820007,132.669998,134.490005,245246300,136.3872076,127.1247904,0.795171977
2011/7/22,134.520004,134.720001,133.759995,134.580002,126019400,136.5641497,127.5758482,0.779252208
2011/7/25,133.300003,134.490005,133.160004,133.830002,136653800,136.2296758,128.6123225,0.684972757
2011/7/26,133.740005,133.960007,133.029999,133.330002,131278200,135.8759242,129.5050741,0.600379515
2011/7/27,132.589996,132.630005,130.429993,130.600006,249020100,135.7497946,129.7302042,0.14449518
2011/7/28,130.600006,131.770004,130.009995,130.220001,207939900,135.802738,129.6272608,0.095982904
2011/7/29,128.910004,130.550003,127.970001,129.330002,307038400,136.0117271,129.1542718,0.02562615
2011/8/1,130.839996,130.960007,127.529999,128.779999,325790900,136.0871888,128.5648102,0.028606489
2011/8/2,127.809998,128.5,125.489998,125.489998,346653800,136.6841323,127.1358667,-0.172373574
2011/8/3,125.660004,126.309998,123.529999,126.169998,370830800,136.8298838,126.2101149,-0.003777572
2011/8/4,124.419998,124.620003,120.059998,120.260002,520721800,137.7922707,123.7377281,-0.247444988
2011/8/5,121.760002,122.07,116.860001,120.080002,655619200,138.3241363,121.7738633,-0.102346428
2011/8/8,116.910004,120.120003,112.019997,112.260002,702263900,140.4754414,117.6515583,-0.236224325
2011/8/9,114.07,117.639999,110.269997,117.480003,717828700,140.8290946,115.905906,0.06315793
2011/8/10,115.260002,116.279999,111.949997,112.290001,662607400,141.6429889,113.1370122,-0.029713458
2011/8/11,113.260002,118.919998,112.32,117.330002,487979700,141.5379654,111.8820366,0.183705775
2011/8/12,118.400002,119.209999,117.279999,118.120003,313731600,141.1392259,110.9237762,0.238163817
2011/8/15,119.190002,120.739998,119,120.620003,258810600,140.6629215,110.4010808,0.337683431
2011/8/16,119.470001,120.690002,118.309998,119.589996,294095200,139.8300276,109.9199747,0.323303384
2011/8/17,120.25,121.199997,118.720001,119.669998,238201100,138.8839858,109.5680169,0.344589706
2011/8/18,116.5,119.709999,113.389999,114.510002,512956300,137.6613116,108.7926908,0.198045873
2011/8/19,112.959999,115.879997,112.5,112.639999,428281300,136.2630907,107.9969114,0.164263007
2011/8/22,115.169998,115.230003,112.410004,112.730003,275090600,134.6706235,107.4793787,0.193099813
2011/8/23,113.150002,116.57,112.580002,116.440002,331136600,132.6700735,107.7909287,0.347643513
2011/8/24,116.190002,118.239998,115.919998,118.080002,246869700,131.0687663,108.1402355,0.433510833
2011/8/25,118.730003,119.400002,115.870003,116.279999,312365400,129.2991659,108.5158357,0.373576478
2011/8/26,115.690002,118.510002,113.849998,117.970001,314495900,127.5016051,109.1773964,0.479835432
2011/8/29,119.559998,121.43,118.059998,121.360001,190977200,125.8638871,110.0731146,0.714777343
2011/8/30,120.830002,122.43,119.260002,121.68,241315700,125.0700707,110.4859312,0.767550857
2011/8/31,122.459999,123.510002,121.300003,122.220001,301828400,124.0872339,111.0737683,0.856515324
2011/9/1,122.290001,123.400002,120.779999,120.940002,254585900,124.1869615,111.0420407,0.752987521
2011/9/2,118.419998,120.870003,117.43,117.849998,255517200,123.9742325,111.0317693,0.526810746
2011/9/6,114.389999,117.160004,114.379997,116.989998,285130500,123.7319605,111.7470409,0.437462851
2011/9/7,118.760002,120.339996,118.360001,120.290001,209803200,123.9776858,111.7823154,0.697616006
2011/9/8,119.57,120.940002,118.769997,119.040001,250568200,123.7317456,112.7032556,0.574579603
2011/9/9,117.68,119.059998,115.279999,115.919998,380195100,123.7444476,112.5495532,0.301069817
2011/9/12,114.470001,116.760002,114.050003,116.669998,305793500,123.7108466,112.4381537,0.375406687
